Neighborhood,price,space
الرحمانية,1500000,64600
الرحمانية,2400000,75000
الرحمانية,1400000,54000
الرحمانية,1000000,78000
الرفيعة,468167,36250
الرفيعة,593125,32500
الرفيعة,599865,39991
الرفيعة,17982500,1634777
الرفيعة,59728500,4040483
الرفيعة,24256500,1550607
الرفيعة,11709500,1064486
الرفيعة,955000,43414
الرفيعة,125000,38962
الرفيعة,125000,36934
الرمال,1093750,62500
الرمال,2000000,403520
الرمال,3050000,300000
الرمال,1764000,252000
الرمال,1764000,252000
الرمال,1890000,252000
الرمال,200000,37500
الرمال,300000,40000
الرمال,180000,31250
الرمال,562275,36750
الرمال,370000,75000
الرمال,552242,25350
الرمال,1500000,250000
الرمال,560000,240000
الرمال,148651,25000
الرمال,1000000,85800
الرمال,1075198,56000
الرمال,665506,52500
الرمال,963296,49000
الرمال,2561103,42000
الرمال,1200000,42000
الرمال,855212,36000
الرمال,1301562,42000
الرمال,858000,66000
الرمال,1250000,39000
الرمال,720000,48750
الرمال,495915,33061
الرمال,1350000,75000
الرمال,850000,27300
الرمال,1300000,50663
الرمال,850000,36000
الرمال,1000000,42000
الرمال,1000000,37830
الرمال,580000,42000
الرمال,1870000,63000
الرمال,950000,73500
الرمال,945959,43050
الرمال,486522,27180
الرمال,486880,27200
الرمال,505532,39000
الرمال,1000000,36800
الرمال,300000,42000
الرمال,1154869,39000
الرمال,307341,36750
الرمال,714952,43500
الرمال,626901,43500
الرمال,1100000,32859
الرمال,471000,30000
الرمال,471000,30000
الرمال,471000,30000
الرمال,471000,30000
الرمال,471000,30000
الرمال,772800,48300
الرمال,642800,40175
الرمال,4483038,309175
الرمال,6442350,444300
الرمال,12882511,888449
الرمال,2379450,164100
الرمال,2740470,164100
الرمال,3660750,243550
الرمال,3660750,244550
الرمال,780000,60000
الرمال,780000,60000
الرمال,780000,60000
الرمال,780000,60000
الرمال,780000,60000
الرمال,780000,60000
الرمال,792000,60000
الرمال,780000,60000
الرمال,806455,62035
الرمال,780000,60000
الرمال,780000,60000
الرمال,780000,60000
الرمال,780000,60000
الرمال,780000,60000
الرمال,780000,60000
الرمال,300000,34200
الرمال,600000,60000
الرمال,600000,60000
الرمال,960000,60000
الرمال,600000,60000
الرمال,870000,60000
الرمال,600000,60000
الرمال,915000,60000
الرمال,600000,60000
الرمال,870000,60000
الرمال,600000,60000
الرمال,912000,60000
الرمال,600000,60000
الرمال,600000,60000
الرمال,600000,60000
الرمال,870000,60000
الرمال,600000,60000
الرمال,465000,30000
الرمال,465000,30000
الرمال,473500,30000
الرمال,947000,30000
الرمال,450000,30000
الرمال,450000,30000
الرمال,483164,30580
الرمال,440820,27900
الرمال,776563,48750
الرمال,776563,50000
الرمال,776563,60000
الرمال,776563,60000
الرمال,219456,21600
الرمال,237600,21600
الرمال,237744,23400
الرمال,257400,23400
الرمال,304800,30000
الرمال,330000,30000
الرمال,319380,31938
الرمال,346000,34438
الرمال,251792,31250
الرمال,253792,31250
الرمال,335000,31250
الرمال,253792,31250
الرمال,335625,31250
الرمال,335000,31250
الرمال,468750,31250
الرمال,335625,31250
الرمال,400000,34438
الرمال,407469,31250
الرمال,396000,36000
الرمال,514800,36000
الرمال,514800,36000
الرمال,1012500,75000
الرمال,525000,37500
الرمال,525000,37500
الرمال,500000,37500
الرمال,500000,37500
الرمال,936000,78000
الرمال,565500,39000
الرمال,565500,39000
الرمال,546250,37500
الرمال,300000,30000
الرمال,454500,30000
الرمال,454500,30000
الرمال,558870,42990
الرمال,300000,36000
الرمال,439000,36000
الرمال,1167516,97372
الرمال,720000,60000
الرمال,720000,60000
الرمال,720000,60000
الرمال,720000,60000
الرمال,885000,60000
الرمال,200000,21600
الرمال,459000,30000
الرمال,459000,30000
الرمال,600000,50000
الرمال,465000,30000
الرمال,811440,58800
الرمال,588000,58800
الرمال,811440,58800
الرمال,588000,58800
الرمال,588000,58800
الرمال,396900,29400
الرمال,411600,29400
الرمال,426300,29400
الرمال,426300,29400
الرمال,396900,29400
الرمال,396900,29400
الرمال,426300,29400
الرمال,426300,29400
الرمال,426300,29400
الرمال,426300,29400
الرمال,426300,29400
الرمال,426300,29400
الرمال,811440,58800
الرمال,811440,58800
الرمال,420000,30000
الرمال,330000,30000
الرمال,420000,30000
الرمال,330000,30000
الرمال,420000,30000
الرمال,420000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,330000,30000
الرمال,5819710,581971
الرمال,4750000,777435
الرمال,15463154,777435
الرمال,1560000,120000
الرمال,900000,120000
الرمال,1545414,118880
الرمال,1560000,120000
الرمال,1560000,120000
الرمال,1560000,120000
الرمال,2025000,150000
الرمال,1649781,112184
الرمال,816000,81600
الرمال,2325414,178880
الرمال,2172000,160000
الرمال,2308000,160000
الرمال,2700000,225000
الرمال,2700000,225000
الرمال,2394000,180000
الرمال,1980000,180000
الرمال,3087500,240000
الرمال,3600000,300000
الرمال,2780016,231622
الرمال,3962670,396267
الرمال,684250,59500
الرمال,195000,35955
الرمال,500000,32500
الرمال,592020,41400
الرمال,592020,41400
الرمال,445900,22750
